Enter the principal ($): 10000
Enter the interest rate (%): 8
Year  Total
  1  $10800.00
  2  $11664.00
  3  $12597.12
  4  $13604.89
  5  $14693.28
  6  $15868.74
  7  $17138.24
  8  $18509.30
  9  $19990.05
 10  $21589.25
 11  $23316.39
 12  $25181.70
 13  $27196.24
 14  $29371.94
 15  $31721.69
 16  $34259.43
 17  $37000.18
 18  $39960.19
 19  $43157.01
 20  $46609.57
 21  $50338.34
 22  $54365.40
 23  $58714.64
 24  $63411.81
 25  $68484.75
 26  $73963.53
 27  $79880.61
 28  $86271.06
 29  $93172.75
 30  $100626.57
